4, -7.51, 0.00, 0.00
7, -7.51, 0.00, 0.00
13, -7.34, 0.25, 0.37
17, -7.27, 0.42, 0.61
23, -7.21, 0.42, 1.00
27, -7.23, 0.23, 1.27
33, -7.26, -0.18, 1.62
37, -7.25, -0.44, 1.84
43, -7.22, -0.72, 2.20
47, -7.20, -0.83, 2.44
54, -7.19, -1.00, 2.81
58, -7.21, -1.17, 3.03
64, -7.25, -1.54, 3.34
68, -7.27, -1.85, 3.52
73, -7.31, -2.25, 3.80
77, -7.34, -2.51, 3.97
83, -7.41, -2.89, 4.22
87, -7.45, -3.18, 3.94
92, -7.51, -3.65, 4.31
98, -7.53, -4.14, 4.81
102, -7.55, -4.46, 5.01
108, -7.53, -4.83, 5.19
112, -7.48, -4.90, 5.43
119, -7.35, -4.67, 5.85
122, -7.28, -4.50, 6.10
128, -7.23, -4.42, 6.50
132, -7.20, -4.52, 6.73
138, -7.18, -4.71, 7.04
142, -7.16, -4.78, 7.28
148, -7.11, -4.71, 7.69
152, -7.10, -4.60, 7.96
158, -7.08, -4.51, 8.36
162, -7.09, -4.52, 8.62
168, -7.14, -4.59, 8.96
172, -7.17, -4.62, 9.19
178, -7.17, -4.53, 9.57
182, -7.18, -4.45, 9.82
188, -7.24, -4.44, 10.16
192, -7.28, -4.48, 10.36
198, -7.46, -4.57, 10.62
202, -7.59, -4.64, 10.76
208, -7.75, -4.57, 11.06
212, -7.87, -4.46, 11.26
218, -8.21, -4.22, 11.14
222, -8.40, -3.96, 11.13
228, -8.46, -3.49, 10.86
232, -8.49, -3.12, 10.82
238, -8.62, -2.62, 10.74
242, -8.76, -2.62, 10.50
248, -8.85, -2.56, 10.06
252, -8.89, -2.36, 9.78
258, -8.94, -1.83, 9.83
262, -9.10, -1.57, 9.75
268, -8.99, -1.76, 10.01
272, -8.94, -1.86, 10.22
278, -8.88, -2.03, 10.54
282, -8.86, -2.12, 10.77
288, -9.06, -2.06, 10.44
292, -9.06, -1.75, 10.43
298, -9.03, -1.31, 10.56
302, -9.09, -1.05, 10.54
308, -9.10, -1.15, 10.92
312, -9.10, -1.42, 10.89
318, -8.91, -1.67, 11.18
322, -8.80, -1.41, 11.29
328, -8.68, -1.00, 11.33
332, -8.61, -0.75, 11.37
337, -8.53, -0.49, 11.26
343, -8.53, -0.65, 10.87
347, -8.52, -0.97, 10.78
353, -8.56, -1.35, 10.52
357, -8.56, -1.14, 10.61
363, -8.55, -0.88, 10.85
367, -8.60, -0.91, 11.09
373, -8.71, -1.41, 11.01
377, -8.84, -1.68, 10.87
383, -9.02, -1.47, 10.95
387, -9.12, -1.38, 11.08
393, -9.12, -1.68, 11.49
397, -9.14, -2.05, 11.72
403, -9.24, -2.75, 11.86
407, -9.31, -3.23, 11.77
413, -9.36, -3.58, 11.43
417, -9.34, -3.64, 11.26
423, -9.24, -3.72, 11.08
427, -9.18, -3.81, 10.94
433, -9.13, -4.05, 10.72
437, -9.10, -4.32, 10.55
443, -9.02, -5.08, 10.37
447, -8.98, -5.64, 10.38
453, -8.99, -6.47, 10.43
457, -9.07, -6.98, 10.75
463, -9.17, -7.42, 11.41
467, -9.26, -7.71, 11.85
473, -9.41, -8.28, 12.48
477, -9.55, -8.75, 12.86
483, -9.79, -9.50, 13.33
487, -9.96, -9.95, 13.62
493, -10.23, -10.51, 14.01
497, -10.42, -10.82, 14.23
503, -10.74, -11.23, 14.50
507, -10.97, -11.51, 14.60
513, -11.31, -11.90, 14.65
517, -11.55, -12.08, 14.67
523, -11.93, -12.16, 14.76
527, -12.19, -12.15, 14.80
533, -12.68, -12.24, 14.75
537, -13.01, -12.32, 14.62
543, -13.52, -12.40, 14.29
547, -13.86, -12.38, 14.07
553, -14.37, -12.38, 13.60
557, -14.70, -12.34, 13.32
563, -15.13, -12.25, 12.92
567, -15.40, -12.15, 12.65
572, -15.70, -12.09, 12.21
578, -16.02, -12.03, 11.54
582, -16.20, -11.94, 11.14
588, -16.43, -11.71, 10.61
592, -16.57, -11.55, 10.22
598, -16.73, -11.31, 9.64
602, -16.81, -11.17, 9.17
608, -16.86, -10.84, 8.56
612, -16.68, -10.29, 7.90
618, -16.66, -9.54, 6.67
622, -16.61, -9.02, 5.86
628, -16.71, -8.58, 5.38
632, -16.74, -8.23, 4.58
638, -16.74, -7.19, 3.29
642, -16.74, -6.34, 2.66
648, -16.72, -5.18, 1.80
652, -16.57, -4.82, 1.11
658, -16.48, -4.48, 0.45
662, -16.27, -3.99, 0.14
668, -16.05, -2.75, -0.56
672, -15.92, -1.89, -1.09
678, -15.79, -0.47, -1.93
682, -15.69, 0.36, -2.32
688, -15.39, 1.39, -3.35
692, -15.31, 2.23, -4.03
698, -15.22, 3.57, -4.94
702, -15.19, 4.44, -5.55
708, -15.11, 5.58, -6.53
712, -15.04, 6.31, -7.18
718, -14.96, 7.48, -8.00
722, -14.90, 8.28, -8.46
728, -14.69, 9.38, -9.00
731, -14.54, 10.10, -9.41
737, -14.27, 11.17, -9.90
741, -14.16, 11.92, -10.23
748, -13.78, 12.54, -10.57
752, -13.59, 12.86, -10.89
758, -13.26, 14.03, -11.47
762, -13.08, 14.86, -11.81
768, -12.71, 15.99, -12.40
772, -12.45, 16.67, -12.88
778, -12.21, 17.76, -13.67
782, -12.05, 18.56, -14.14
788, -11.86, 19.74, -14.81
792, -11.71, 20.48, -15.25
797, -11.45, 21.53, -15.86
